date,market,ticker,name,side,qty,price,currency,fee,account,note
2026-09-01,A,600727,鲁北化工,buy,100,7.96,CNY,,GY,国元买入；成本¥796；未计费
2026-09-01,A,002369,卓翼科技,buy,100,6.45,CNY,,GY,国元买入；成本¥645；未计费
2026-09-01,US,VOO,标普500 ETF,buy,0.01,700,USD,,US,碎股网格加仓；成本$7.00；未计费
2026-09-01,US,GOOGL,谷歌A,buy,0.01,336,USD,,US,碎股加仓；成本$3.36；未计费
2026-09-03,A,603912,佳力图,sell,100,9.4,CNY,,YH,银河卖出；平8/31仓；粗算+¥17(+1.84%)；未计费
2026-09-03,A,002369,卓翼科技,sell,100,6.19,CNY,,GY,国元卖出；平9/1仓；粗算-¥26(-4.03%)；未计费
2026-09-03,US,GOOGL,谷歌A,sell,0.01,344,USD,,US,美股卖出；碎股减仓；相对加权$339.50粗算+$0.05(+1.33%)；未计费；余0.01
2026-09-03,US,VOO,标普500 ETF,sell,0.01,707,USD,,US,美股卖出；碎股网格；相对加权$706粗算+$0.01(+0.14%)；未计费；余0.03
2026-09-03,US,QQQ,纳斯达克100 ETF,sell,0.01,717,USD,,US,美股卖出；碎股网格；相对加权$716.33粗算+$0.01(+0.09%)；未计费；余0.02
2026-09-04,A,600727,鲁北化工,sell,100,7.67,CNY,,GY,国元卖出；平9/1仓；粗算-¥29(-3.64%)；未计费
2026-09-04,A,002632,道明光学,buy,100,9.52,CNY,,YH,银河买入；成本¥952；未计费
