date,score,confidence,market_state,strategy,attack_ok,attack_met,attack_note,defend_ok,defend_met,defend_note,account_focus,suggested_position,position_low,position_high,operation_hint
2026-08-06,68,中,反弹确认,轻仓试错,,,,,,,,30–40%,30,40,
2026-08-07,80,中,反弹确认,积极参与,,,,,,,,40–50%,40,50,
2026-08-10,71,中,反弹确认,积极参与,,,,,,,,40–50%,40,50,
2026-08-11,50,中,高位风险,轻仓试错,,,,,,,,25–35%,25,35,
2026-08-12,66,中,反弹确认,轻仓试错,,,,,,,,30–40%,30,40,
2026-08-13,48,中,震荡筑底,轻仓试错,,,,,,,,25–35%,25,35,
2026-08-14,63,中,震荡筑底,轻仓试错,,,,,,,,25–35%,25,35,
2026-08-17,89,高,反弹确认,进攻,,,,,,,,55–65%,55,65,当前大盘稳、有明显进攻信号和主线，适合做行业主线；买点可以激进，个股做小波段（当日半导体/存储链领涨、放量突破 MA 系指数）
2026-08-18,67,中,反弹确认,轻仓试错,,,,,,,,35–45%,35,45,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（当日农业/粮食爆发但宽度差，科技资金流出，宜题材短打不宜追指数）
2026-08-19,30,中,下跌趋势,防守,,,,,,,,10–20%,10,20,当前大盘不稳下跌，不适合做行业主线；概念题材也只宜轻仓短打或观望（当日放量普跌、科技链重挫，煤银防御≠全面做多信号）
2026-08-20,62,中,反弹初期,轻仓试错,,,,,,,华泰 HT + 银河 YH；国元 GY 降权,25–35%,25,35,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（当日医药主线清晰但指数仍低于 MA5，属反弹非趋势确认）
2026-08-21,52,中,震荡筑底,轻仓试错,,,,,,,华泰 HT + 银河 YH；国元 GY 降权,25–35%,25,35,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（当日贵金属/算力硬件主线清晰但上证仍低于 MA5、超 2800 股下跌，属结构性轮动非趋势确认）
2026-08-24,39,中,下跌趋势,防守,,,,,,,华泰 HT + 银河 YH；国元 GY 降权/少开新,15–25%,15,25,当前大盘不稳下跌，不适合做行业主线；概念题材也只宜轻仓短打或观望（当日贵金属/煤炭逆势但上证跌破 MA5/MA20、近 3900 股下跌、算力链重挫，属防御性 risk-off 非趋势反转）
